user_detail_id,first_name,last_name,gender,age,username,password,email,phone_number,address
1,Karja,Yulianti,F,45,karja232,*3KtD0_hq&,karja.yulianti@gmail.com,+62 (89) 080-7035,"Gang Cempaka No. 629
Medan, SG 30927"
2,Lanang,Najmudin,M,30,lanang165,8Ki1Kiu2L(,lanang.najmudin@yahoo.com,-7318,"Gg. Cihampelas No. 5
Langsa, KU 89576"
3,Legawa,Namaga,F,47,namaga786,fc0IkcOa(@,legawa.namaga@yahoo.com,(0318) 842-8281,"Gang Ir. H. Djuanda No. 1
Bau-Bau, Sumatera Selatan 44358"
4,Zahra,Prasetya,F,24,prasetya191,)2dg1BOi20,zahra.prasetya@yahoo.com,+62 (004) 865 6790,"Gang Rumah Sakit No. 200
Surakarta, SB 31884"
5,Teddy,Waluyo,F,48,teddy724,K7GyLutN+X,teddy.waluyo@gmail.com,-9161,"Gg. Joyoboyo No. 669
Batam, GO 67435"
6,Keisha,Hakim,M,24,keisha590,ngPXvLRC%4,keisha.hakim@hotmail.com,(0914) 027-6981,"Jalan W.R. Supratman No. 46
Singkawang, Lampung 92154"
7,Pardi,Nurdiyanti,F,47,pardi722,w$W(8MTfca,pardi.nurdiyanti@hotmail.com,+62 (46) 857 2299,"Gg. Kutai No. 0
Lubuklinggau, Sulawesi Utara 32835"
8,Kiandra,Siregar,F,42,siregar996,_6VxQ+uce2,kiandra.siregar@yahoo.com,(0863) 980-1307,"Jalan Jend. A. Yani No. 46
Kupang, KB 56379"
9,Chelsea,Napitupulu,M,50,napitupulu46,&ke8DrzYCd,chelsea.napitupulu@gmail.com,+62 (03) 833-1127,"Gang Setiabudhi No. 38
Makassar, Kepulauan Bangka Belitung 43116"
10,Drajat,Wasita,F,77,wasita813,(uMQfK#a7X,drajat.wasita@yahoo.com,+62 (937) 543-6039,"Gg. BKR No. 45
Surabaya, GO 53992"
11,Samsul,Mahendra,F,89,samsul179,+y#2*wIjN^,samsul.mahendra@hotmail.com,+62 (099) 267-3501,"Gang Yos Sudarso No. 497
Makassar, JA 15155"
12,Warsita,Tampubolon,F,59,tampubolon177,UYB%0AaR_*,warsita.tampubolon@yahoo.com,-5659,"Jl. Soekarno Hatta No. 76
Probolinggo, GO 78201"
13,Prasetyo,Tampubolon,F,49,prasetyo913,*Uj&sET5r0,prasetyo.tampubolon@yahoo.com,(0005) 403 4631,"Jalan Ahmad Yani No. 987
Kediri, Papua Barat 65625"
14,Kambali,Laksita,F,44,laksita101,#De6Bc+w3S,kambali.laksita@yahoo.com,+62 (038) 782-2560,"Jl. PHH. Mustofa No. 969
Cimahi, Papua 30758"
15,Asman,Prasetya,F,45,prasetya145,+6PO9bd5Iz,asman.prasetya@gmail.com,+62 (084) 386 9425,"Jl. Peta No. 724
Surakarta, JK 19091"
16,Dewi,Pudjiastuti,M,47,dewi689,h^Wb4Scssg,dewi.pudjiastuti@yahoo.com,+62 (06) 761 2850,"Jl. Suniaraja No. 5
Prabumulih, SG 94683"
17,Setya,Novitasari,F,83,setya416,5t9oSxcLj%,setya.novitasari@yahoo.com,-7687,"Jalan Sukajadi No. 648
Surakarta, Nusa Tenggara Timur 36071"
18,Himawan,Namaga,M,44,himawan941,_y(y2UTv5b,himawan.namaga@hotmail.com,+62 (060) 185-1700,"Jalan Jend. Sudirman No. 048
Banjarbaru, KR 10031"
19,Warta,Kusmawati,F,16,kusmawati384,qs@4GGuhS*,warta.kusmawati@gmail.com,+62 (62) 792-8859,"Jl. Ahmad Yani No. 329
Binjai, Aceh 29549"
20,Raditya,Wibisono,F,46,wibisono482,2hT1FaQk%Z,raditya.wibisono@gmail.com,(073) 817-6811,"Gg. Jamika No. 3
Mojokerto, BB 46722"
21,Luis,Saragih,F,43,saragih700,*$7C^yJQU4,luis.saragih@yahoo.com,083 214 2953,"Jalan Cihampelas No. 974
Tomohon, JT 33219"
22,Asirwada,Nurdiyanti,F,80,nurdiyanti258,ZWB#1PnPmD,asirwada.nurdiyanti@yahoo.com,+62 (0816) 930-6283,"Jl. Abdul Muis No. 29
Padangpanjang, KI 33981"
23,Luis,Rahimah,F,25,rahimah662,zy@Z+2RlOq,luis.rahimah@hotmail.com,+62 (027) 373 6023,"Jalan Antapani Lama No. 686
Pontianak, RI 01943"
24,Cager,Maryati,M,36,maryati134,_NMH%JsB$7,cager.maryati@hotmail.com,+62 (91) 136-3319,"Gg. Pasteur No. 848
Jambi, SR 05261"
25,Aswani,Zulaika,M,80,aswani918,n0M35Jcg!r,aswani.zulaika@yahoo.com,+62 (75) 166-9003,"Gang Laswi No. 272
Lhokseumawe, KB 27617"
26,Elon,Riyanti,F,34,elon210,n!5Wy@gII!,elon.riyanti@yahoo.com,-8592,"Jalan Joyoboyo No. 480
Kota Administrasi Jakarta Pusat, BE 03871"
27,Diah,Tamba,F,88,diah140,01JYVp*t(4,diah.tamba@yahoo.com,+62 (545) 379 6389,"Jalan Lembong No. 40
Serang, Kepulauan Bangka Belitung 20484"
28,Jumari,Dongoran,M,16,jumari610,mA1WLyHfm),jumari.dongoran@yahoo.com,(0782) 513-9511,"Jl. Medokan Ayu No. 963
Purwokerto, JA 00018"
29,Dagel,Maryadi,F,89,dagel484,1#$3ZpWvf4,dagel.maryadi@yahoo.com,(051) 262 0356,"Gg. Setiabudhi No. 42
Bau-Bau, KS 80409"
30,Karsa,Pudjiastuti,F,37,karsa538,f!I9EqMB+_,karsa.pudjiastuti@gmail.com,(0228) 058 5526,"Jl. PHH. Mustofa No. 621
Sibolga, Riau 00874"
31,Jamal,Prabowo,F,32,jamal771,#m9OiMYh%#,jamal.prabowo@yahoo.com,-9406,"Gang Suryakencana No. 284
Bitung, Papua 82003"
32,Jatmiko,Palastri,M,76,palastri317,J%%Z4BcF0E,jatmiko.palastri@yahoo.com,(0165) 838 2439,"Jl. Laswi No. 11
Denpasar, KU 10925"
33,Hafshah,Utami,F,22,hafshah811,hvj09SJz$%,hafshah.utami@yahoo.com,085 480 7847,"Gg. Jayawijaya No. 1
Padangpanjang, Jawa Timur 53441"
34,Ilsa,Novitasari,M,51,ilsa931,xX%4aB6c5k,ilsa.novitasari@gmail.com,-198,"Jl. Jamika No. 45
Pekalongan, Lampung 85676"
35,Shakila,Wijayanti,M,31,wijayanti937,W59+LiV*)d,shakila.wijayanti@gmail.com,885580417,"Jl. Peta No. 88
Batam, SR 31575"
36,Sabri,Rajata,F,89,sabri426,#ro4mLnR70,sabri.rajata@gmail.com,-1975,"Jl. Rajawali Barat No. 34
Serang, SN 54736"
37,Najam,Setiawan,M,77,setiawan133,li!8t7PiP%,najam.setiawan@yahoo.com,-4371,"Jalan Moch. Toha No. 13
Meulaboh, NB 99429"
38,Among,Mahendra,M,68,mahendra710,Z88DBm1$&&,among.mahendra@hotmail.com,-3547,"Jalan Moch. Toha No. 173
Pasuruan, KR 84050"
39,Putri,Firmansyah,F,52,firmansyah716,kp3!2NNa+$,putri.firmansyah@gmail.com,+62 (0505) 640-1968,"Jalan H.J Maemunah No. 7
Jayapura, KR 11630"
40,Atmaja,Purwanti,M,89,atmaja566,c7(QFb(E^6,atmaja.purwanti@hotmail.com,-4654,"Gang Erlangga No. 577
Kendari, Lampung 38828"
41,Cahya,Haryanti,F,45,haryanti209,X@3Zs%foWI,cahya.haryanti@gmail.com,-8639,"Jalan Tebet Barat Dalam No. 4
Bengkulu, Sulawesi Tenggara 61921"
42,Nadia,Lailasari,M,32,lailasari800,#NAME?,nadia.lailasari@hotmail.com,(015) 001-0030,"Jl. Dipatiukur No. 160
Kediri, Sumatera Utara 93353"
43,Salimah,Marpaung,M,33,salimah736,F#(8EDSuD(,salimah.marpaung@gmail.com,+62 (0561) 131-6797,"Jl. Gegerkalong Hilir No. 5
Balikpapan, KU 91648"
44,Janet,Aryani,M,56,aryani501,$0dZ!U)z9*,janet.aryani@gmail.com,-7457,"Jalan Dipatiukur No. 685
Tual, AC 76762"
45,Lasmono,Marpaung,F,50,lasmono351,L$#5BX8U3m,lasmono.marpaung@gmail.com,-3967,"Gang Suniaraja No. 6
Blitar, Gorontalo 67629"
46,Ridwan,Rahimah,F,31,ridwan892,2jU3BkhE%p,ridwan.rahimah@gmail.com,(061) 229-8147,"Jl. Dr. Djunjunan No. 47
Mataram, BA 40666"
47,Bagas,Thamrin,M,21,bagas922,*(6BwwQG@c,bagas.thamrin@yahoo.com,846407425,"Gg. Cempaka No. 042
Jayapura, KU 66986"
48,Himawan,Nurdiyanti,M,51,himawan384,c!O5N2hKbY,himawan.nurdiyanti@hotmail.com,-6473,"Gang Pelajar Pejuang No. 10
Tidore Kepulauan, SU 11808"
49,Raden,Widiastuti,M,52,widiastuti912,!j%Lf2Tb0q,raden.widiastuti@yahoo.com,895788434,"Gang Rawamangun No. 27
Manado, NT 47993"
